Province,Year,AvgHousePrice,MedianIncome,AvgRent
Ontario,2010,456813,47524,962
Ontario,2011,470517,48475,986
Ontario,2012,484633,49444,1010
Ontario,2013,499172,50433,1036
Ontario,2014,514147,51442,1061
Ontario,2015,529571,52471,1088
Ontario,2016,545458,53520,1115
Ontario,2017,561822,54590,1143
Ontario,2018,578677,55682,1172
Ontario,2019,596037,56796,1201
Ontario,2020,613918,57932,1231
Ontario,2021,632336,59090,1262
Ontario,2022,651306,60272,1293
Ontario,2023,670845,61478,1326
Quebec,2010,559422,63193,809
Quebec,2011,576204,64457,829
Quebec,2012,593490,65746,850
Quebec,2013,611295,67061,871
Quebec,2014,629634,68402,893
Quebec,2015,648523,69770,916
Quebec,2016,667979,71165,938
Quebec,2017,688018,72589,962
Quebec,2018,708659,74041,986
Quebec,2019,729918,75521,1011
Quebec,2020,751816,77032,1036
Quebec,2021,774370,78572,1062
Quebec,2022,797602,80144,1088
Quebec,2023,821530,81747,1115
Alberta,2010,240589,64905,805
Alberta,2011,247806,66203,825
Alberta,2012,255240,67527,846
Alberta,2013,262898,68878,867
Alberta,2014,270785,70255,889
Alberta,2015,278908,71660,911
Alberta,2016,287275,73094,934
Alberta,2017,295894,74556,957
Alberta,2018,304770,76047,981
Alberta,2019,313914,77568,1005
Alberta,2020,323331,79119,1031
Alberta,2021,333031,80701,1056
Alberta,2022,343022,82315,1083
Alberta,2023,353312,83962,1110
British Columbia,2010,264323,61462,1492
British Columbia,2011,272253,62691,1529
British Columbia,2012,280421,63945,1567
British Columbia,2013,288833,65224,1607
British Columbia,2014,297498,66528,1647
British Columbia,2015,306423,67859,1688
British Columbia,2016,315616,69216,1730
British Columbia,2017,325084,70601,1773
British Columbia,2018,334837,72013,1818
British Columbia,2019,344882,73453,1863
British Columbia,2020,355228,74922,1910
British Columbia,2021,365885,76420,1957
British Columbia,2022,376862,77949,2006
British Columbia,2023,388168,79508,2057
Manitoba,2010,460785,51728,1512
Manitoba,2011,474608,52763,1550
Manitoba,2012,488846,53818,1589
Manitoba,2013,503512,54894,1628
Manitoba,2014,518617,55992,1669
Manitoba,2015,534176,57112,1711
Manitoba,2016,550201,58254,1754
Manitoba,2017,566707,59419,1798
Manitoba,2018,583708,60608,1842
Manitoba,2019,601219,61820,1889
Manitoba,2020,619256,63056,1936
Manitoba,2021,637834,64317,1984
Manitoba,2022,656969,65604,2034
Manitoba,2023,676678,66916,2085
Saskatchewan,2010,294900,54762,1546
Saskatchewan,2011,303747,55857,1585
Saskatchewan,2012,312859,56974,1625
Saskatchewan,2013,322245,58114,1665
Saskatchewan,2014,331912,59276,1707
Saskatchewan,2015,341870,60462,1750
Saskatchewan,2016,352126,61671,1793
Saskatchewan,2017,362689,62904,1838
Saskatchewan,2018,373570,64162,1884
Saskatchewan,2019,384777,65446,1931
Saskatchewan,2020,396320,66755,1980
Saskatchewan,2021,408210,68090,2029
Saskatchewan,2022,420456,69451,2080
Saskatchewan,2023,433070,70840,2132
Nova Scotia,2010,459853,70477,1458
Nova Scotia,2011,473649,71886,1494
Nova Scotia,2012,487858,73324,1531
Nova Scotia,2013,502494,74790,1570
Nova Scotia,2014,517569,76286,1609
Nova Scotia,2015,533096,77812,1649
Nova Scotia,2016,549089,79368,1690
Nova Scotia,2017,565561,80956,1733
Nova Scotia,2018,582528,82575,1776
Nova Scotia,2019,600004,84226,1820
Nova Scotia,2020,618004,85911,1866
Nova Scotia,2021,636544,87629,1913
Nova Scotia,2022,655641,89381,1960
Nova Scotia,2023,675310,91169,2009
New Brunswick,2010,427323,47810,1168
New Brunswick,2011,440143,48766,1197
New Brunswick,2012,453347,49742,1227
New Brunswick,2013,466948,50737,1258
New Brunswick,2014,480956,51751,1289
New Brunswick,2015,495385,52786,1321
New Brunswick,2016,510247,53842,1354
New Brunswick,2017,525554,54919,1388
New Brunswick,2018,541321,56017,1423
New Brunswick,2019,557560,57138,1458
New Brunswick,2020,574287,58280,1495
New Brunswick,2021,591516,59446,1532
New Brunswick,2022,609261,60635,1570
New Brunswick,2023,627539,61848,1610
Newfoundland and Labrador,2010,306081,52320,1773
Newfoundland and Labrador,2011,315263,53366,1817
Newfoundland and Labrador,2012,324721,54433,1863
Newfoundland and Labrador,2013,334463,55522,1909
Newfoundland and Labrador,2014,344497,56633,1957
Newfoundland and Labrador,2015,354832,57765,2006
Newfoundland and Labrador,2016,365477,58920,2056
Newfoundland and Labrador,2017,376441,60099,2108
Newfoundland and Labrador,2018,387734,61301,2160
Newfoundland and Labrador,2019,399366,62527,2214
Newfoundland and Labrador,2020,411347,63777,2270
Newfoundland and Labrador,2021,423688,65053,2326
Newfoundland and Labrador,2022,436398,66354,2385
Newfoundland and Labrador,2023,449490,67681,2444
Prince Edward Island,2010,357239,71761,1431
Prince Edward Island,2011,367956,73197,1467
Prince Edward Island,2012,378995,74661,1504
Prince Edward Island,2013,390365,76154,1541
Prince Edward Island,2014,402076,77677,1580
Prince Edward Island,2015,414138,79230,1619
Prince Edward Island,2016,426562,80815,1660
Prince Edward Island,2017,439359,82431,1701
Prince Edward Island,2018,452540,84080,1744
Prince Edward Island,2019,466116,85762,1787
Prince Edward Island,2020,480099,87477,1832
Prince Edward Island,2021,494502,89226,1878
Prince Edward Island,2022,509338,91011,1925
Prince Edward Island,2023,524618,92831,1973
